hs_contact_id,email,company_name,lead_source,mql_date,lifecycle_stage,sf_opportunity_id,country,utm_campaign,number_of_employees
HS-90061,contact61@polare.com.br,polare,Organic,2023-11-22,SQL,,Brasil,organic,46
HS-90062,contact62@verticetech.com.br,VERTICE TECH,partner referral,2024-11-30,Lead,,Brasil,event-saas-summit,
HS-90063,contact63@innova.com.br,INNOVA,organic,2024-09-16,MQL,,Brasil,organic,
HS-90064,contact64@corelogic.com.br,CoreLogic,Partner,2024-07-06,Customer,,Brasil,linkedin-ads-q3,10
HS-90065,contact65@ampliasolucoes.com.br,Amplia Soluções,Paid Search,2024-06-29,Lead,OPP-2024812,Brasil,linkedin-ads-q3,
HS-90066,contact66@rushflow.com.br,rushflow,Partner,2025-01-07,MQL,,Brasil,linkedin-ads-q3,228
HS-90067,contact67@zentra.com.br,ZENTRA,Referral,2023-11-20,Subscriber,OPP-2024370,BRASIL,demo-request,
HS-90068,contact68@orbitdigital.com.br,Orbit Digital,Organic Search,2023-10-22,MQL,,Brasil,ebook-revops,
HS-90069,contact69@betasolutions.com.br,beta solutions,Event,2024-10-15,Customer,OPP-2024685,Brasil,partner-referral,688
HS-90070,contact70@dataprime.com.br,DataPrime,Paid Search,,Customer,OPP-2024687,Brasil,demo-request,834
HS-90071,contact71@acmecorp.com.br,Acme Corp,social,2024-10-21,Lead,,BRASIL,organic,560
HS-90072,contact72@gruponexus.com.br,GRUPO NEXUS,Social Media,2024-04-11,Subscriber,,Brasil,linkedin-ads-q3,144
HS-90073,contact73@acmecorp.com.br,ACME CORP,Organic Search,2024-11-10,SQL,OPP-2024386,Brasil,demo-request,
HS-90074,contact74@betasolutions.com.br,Beta Solutions Ltda,Email Marketing,2023-10-08,Lead,OPP-2024635,Brasil,linkedin-ads-q3,888
HS-90075,contact75@tapflow.com.br,Tap Flow,Referral,2024-11-05,MQL,OPP-2025122,brasil,partner-referral,
HS-90076,contact76@dataprime.com.br,dataprime,SEO,2024-07-27,Lead,OPP-2024520,Brasil,ebook-revops,920
HS-90077,contact69@betasolutions.com.br,Beta Solutions,Webinar,,MQL,,BRA,event-saas-summit,
HS-90078,contact78@polare.com.br,Polare Ltda,Content Download,2024-08-11,Subscriber,,Brasil,partner-referral,793
HS-90079,contact79@acmecorp.com.br,Acme,Direct,2024-12-15,MQL,,Brasil,demo-request,117
HS-90080,contact80@zentra.com.br,ZENTRA,Partner,2025-01-02,Lead,,Brasil,webinar-nov24,
HS-90081,contact81@gridsoft.com.br,Grid Soft,Paid Search,2024-04-23,Lead,OPP-2024843,Brazil,event-saas-summit,90
HS-90082,contact82@dataprime.com.br,dataprime,Direct,,Lead,OPP-2024322,BRA,webinar-nov24,188
HS-90083,contact83@betasolutions.com.br,Beta Solutions Ltda,Partner,2024-08-10,SQL,,Brasil,demo-request,89
HS-90084,contact84@gridsoft.com.br,GRIDSOFT,Organic Search,2024-01-16,SQL,OPP-2024191,Brasil,ebook-revops,
HS-90085,contact85@zentra.com.br,ZENTRA,Webinar,,MQL,,Brasil,event-saas-summit,879
HS-90086,contact86@orbitdigital.com.br,Orbit,google ads,2023-12-05,Subscriber,,BRASIL,linkedin-ads-q3,329
HS-90087,contact87@connectwave.com.br,connectwave,Content Download,2024-06-03,MQL,OPP-2024614,Brasil,linkedin-ads-q3,
HS-90088,contact88@rushflow.com.br,Rush Flow,Webinar,2023-10-09,SQL,,BRASIL,ebook-revops,
HS-90089,contact89@orbitdigital.com.br,Orbit,Webinar,2024-02-15,Subscriber,OPP-2025071,Brasil,partner-referral,132
HS-90090,contact90@gridsoft.com.br,gridsoft,Social Media,2024-07-27,Customer,,BR,linkedin-ads-q3,11
HS-90091,contact91@orbitdigital.com.br,Orbit,Social Media,2024-10-16,Subscriber,,Brasil,partner-referral,216
HS-90092,contact92@zentra.com.br,Zentra,google ads,2024-11-24,Lead,OPP-2024053,BRASIL,partner-referral,193
HS-90093,contact93@skyops.com.br,SkyOps,Organic Search,2023-11-18,Subscriber,OPP-2024865,Brasil,event-saas-summit,135
HS-90094,contact94@orbitdigital.com.br,Orbit,Email Marketing,2024-11-19,SQL,OPP-2024038,Brasil,partner-referral,977
HS-90095,contact95@corelogic.com.br,corelogic,Event,,SQL,OPP-2024364,Brasil,organic,3749
HS-90096,contact96@bluepath.com.br,Blue Path,paid,2024-07-28,Customer,OPP-2024876,Brasil,partner-referral,
HS-90097,contact97@mindbox.com.br,Mind Box,Content Download,,Subscriber,,Brasil,demo-request,
HS-90098,contact98@connectwave.com.br,ConnectWave,Paid Search,,SQL,OPP-2025031,brasil,organic,
HS-90099,contact99@dataprime.com.br,DataPrime,Organic Search,,SQL,,Brasil,event-saas-summit,999
HS-90100,contact100@rushflow.com.br,RUSHFLOW,partner referral,,Lead,OPP-2024918,Brasil,organic,486
HS-90101,contact101@skyops.com.br,SkyOps,email,2024-11-29,Lead,,Brasil,organic,9123
HS-90102,contact102@ampliasolucoes.com.br,Amplia,Social Media,,SQL,,Brasil,partner-referral,971
HS-90103,contact103@fluxosistemas.com.br,FLUXO SISTEMAS,partner referral,2024-11-05,Lead,,Brasil,partner-referral,277
HS-90104,contact104@orbitdigital.com.br,orbit digital,Organic Search,2023-10-18,SQL,OPP-2024068,Brasil,cold-outbound,
HS-90105,contact105@orbitdigital.com.br,Orbit,Partner,2024-08-16,MQL,OPP-2024266,Brasil,webinar-nov24,
HS-90106,contact106@gridsoft.com.br,GRIDSOFT,paid,2024-07-12,SQL,,Brasil,event-saas-summit,282
HS-90107,contact107@orbitdigital.com.br,Orbit,Social Media,2023-11-18,SQL,,Brasil,event-saas-summit,140
HS-90108,contact108@connectwave.com.br,ConnectWave,Content Download,2023-09-17,MQL,,Brasil,cold-outbound,
HS-90109,contact109@orbitdigital.com.br,Orbit Digital,Webinar,2025-01-21,SQL,,Brasil,linkedin-ads-q3,
HS-90110,contact110@connectwave.com.br,Connect Wave,Paid Search,,Customer,,BRASIL,demo-request,
HS-90111,contact111@dataprime.com.br,DATAPRIME,google ads,,MQL,OPP-2024462,Brasil,linkedin-ads-q3,9802
HS-90112,contact112@skyops.com.br,SkyOps,Event,,MQL,,Brasil,webinar-nov24,
HS-90113,contact113@skyops.com.br,SKYOPS,Content Download,,Subscriber,OPP-2025079,Brasil,ebook-revops,
HS-90114,contact114@innova.com.br,Innova Tech,Webinar,2023-11-17,Subscriber,,Brasil,demo-request,
HS-90115,contact115@polaris.com.br,Polaris,Organic,2023-10-13,MQL,,brasil,linkedin-ads-q3,
HS-90116,contact116@gridsoft.com.br,Grid Soft,Event,2024-05-05,Lead,,Brasil,ebook-revops,
HS-90117,contact117@betasolutions.com.br,BETA SOLUTIONS,Paid Search,2024-08-30,Lead,,BR,partner-referral,
HS-90118,contact118@gridsoft.com.br,GRIDSOFT,Email Marketing,2024-07-07,SQL,,Brasil,event-saas-summit,70
HS-90119,contact119@mindbox.com.br,Mind Box,Webinar,2024-01-23,Subscriber,,BRA,demo-request,168
HS-90120,contact120@corelogic.com.br,corelogic,organic,,SQL,OPP-2024274,BRASIL,ebook-revops,
HS-90121,contact121@connectwave.com.br,Connect Wave,Direct,2024-09-25,Subscriber,OPP-2024781,Brazil,partner-referral,
HS-90122,contact122@gruponexus.com.br,Nexus Group,SEO,,MQL,,brasil,partner-referral,
HS-90123,contact123@polare.com.br,polare,Direct,2023-11-30,MQL,,Brasil,webinar-nov24,190
HS-90124,contact70@dataprime.com.br,DataPrime,Direct,2024-11-02,SQL,,Brasil,event-saas-summit,187
HS-90125,contact125@betasolutions.com.br,BETA SOLUTIONS,Webinar,2024-11-20,SQL,,Brasil,cold-outbound,
HS-90126,contact126@rushflow.com.br,Rush Flow,Event,2024-09-25,Subscriber,,Brasil,webinar-nov24,
HS-90127,contact127@gridsoft.com.br,GridSoft,Referral,2023-09-10,Customer,,Brasil,demo-request,
HS-90128,contact128@tapflow.com.br,Tap Flow,Content Download,2024-07-27,Subscriber,OPP-2024345,Brasil,partner-referral,28
HS-90129,contact129@bluepath.com.br,BluePath,Social Media,2024-05-03,Lead,,Brasil,cold-outbound,426
HS-90130,contact65@ampliasolucoes.com.br,Amplia Soluções,Partner,2024-10-28,SQL,OPP-2024778,Brazil,cold-outbound,878
HS-90131,contact131@polaris.com.br,Polaris Tech,Organic Search,2023-12-23,MQL,,BRASIL,cold-outbound,748
HS-90132,contact132@skyops.com.br,SkyOps,email,2024-06-12,Subscriber,,BRA,cold-outbound,
HS-90133,contact133@betasolutions.com.br,Beta Solutions,Email Marketing,2024-08-03,MQL,OPP-2025030,Brasil,organic,
HS-90134,contact134@ampliasolucoes.com.br,Amplia Soluções,Partner,2024-01-02,Lead,,Brasil,partner-referral,
HS-90135,contact135@zentra.com.br,Zentra Tech,Paid Search,2024-11-25,Customer,OPP-2024486,BR,linkedin-ads-q3,
HS-90136,contact136@tapflow.com.br,TapFlow,Paid Search,2024-08-01,MQL,OPP-2024353,BRASIL,partner-referral,148
HS-90137,contact137@connectwave.com.br,connectwave,Organic Search,2024-05-18,Lead,OPP-2024169,Brasil,webinar-nov24,
HS-90138,contact85@zentra.com.br,Zentra,Referral,2024-10-13,Customer,OPP-2024213,Brasil,partner-referral,
HS-90139,contact139@zentra.com.br,Zentra Tech,Event,2024-10-17,MQL,,Brasil,linkedin-ads-q3,
HS-90140,contact140@verticetech.com.br,Vertice,Email Marketing,2024-02-05,SQL,,BRA,cold-outbound,864
HS-90141,contact141@polare.com.br,Polare Ltda,SEO,,SQL,OPP-2024445,Brasil,organic,174
HS-90142,contact142@zentra.com.br,Zentra,Event,2023-11-24,Subscriber,OPP-2025166,Brasil,demo-request,
HS-90143,contact143@fluxosistemas.com.br,FLUXO SISTEMAS,Social Media,2024-02-17,Lead,OPP-2024879,Brasil,ebook-revops,977
HS-90144,contact144@polare.com.br,Polare Ltda,Event,2024-09-23,Subscriber,,Brasil,partner-referral,827
HS-90145,contact145@dataprime.com.br,Data Prime,Content Download,,Customer,,BR,partner-referral,166
HS-90146,contact146@gridsoft.com.br,GridSoft,Referral,2024-12-18,Lead,,Brasil,partner-referral,665
HS-90147,contact147@ampliasolucoes.com.br,Amplia,Content Download,2024-02-25,SQL,OPP-2024959,Brasil,partner-referral,36
HS-90148,contact148@dataprime.com.br,dataprime,Content Download,2024-09-18,Subscriber,,Brasil,cold-outbound,1289
HS-90149,contact149@bluepath.com.br,BLUEPATH,Event,2024-07-05,SQL,,Brasil,webinar-nov24,
HS-90150,contact150@verticetech.com.br,Vertice,Social Media,,Lead,,Brasil,organic,172
HS-90151,contact151@polare.com.br,polare,social,2024-07-24,Lead,OPP-2025061,Brasil,partner-referral,105
HS-90152,contact152@innova.com.br,Innova,social,2023-10-02,Lead,,brasil,organic,861
HS-90153,contact153@mindbox.com.br,Mindbox,Email Marketing,2023-12-10,MQL,OPP-2024224,Brasil,linkedin-ads-q3,180
HS-90154,contact154@verticetech.com.br,Vertice Tech,Event,2024-09-11,SQL,,BR,organic,
HS-90155,contact155@orbitdigital.com.br,orbit digital,Paid Search,,MQL,,Brasil,partner-referral,
HS-90156,contact156@ampliasolucoes.com.br,Amplia Soluções Ltda,Email Marketing,2024-10-28,Lead,,BR,webinar-nov24,889
HS-90157,contact157@connectwave.com.br,ConnectWave,Partner,2024-02-26,SQL,OPP-2024371,Brasil,linkedin-ads-q3,682
HS-90158,contact158@rushflow.com.br,rushflow,Partner,,MQL,OPP-2024263,Brasil,ebook-revops,
HS-90159,contact159@polaris.com.br,Polaris,Event,2024-01-29,Subscriber,,Brasil,cold-outbound,125
HS-90160,contact160@connectwave.com.br,Connect Wave,Social Media,,Lead,,Brasil,cold-outbound,
HS-90161,contact161@ampliasolucoes.com.br,Amplia Soluções,Organic,2024-04-09,Customer,,BRA,organic,
HS-90162,contact162@fluxosistemas.com.br,Fluxo,social,2024-05-31,Lead,,Brazil,event-saas-summit,400
HS-90163,contact163@fluxosistemas.com.br,Fluxo Sistemas Ltda,Organic Search,2023-09-11,Customer,,Brasil,organic,106
HS-90164,contact164@innova.com.br,INNOVA,Direct,,SQL,,Brasil,webinar-nov24,506
HS-90165,contact165@orbitdigital.com.br,ORBIT DIGITAL,Partner,2024-08-02,SQL,,BRASIL,demo-request,237
HS-90166,contact166@ampliasolucoes.com.br,AMPLIA SOLUCOES,Social Media,2023-10-04,Customer,,BR,organic,254
HS-90167,contact167@mindbox.com.br,Mind Box,Partner,2024-01-24,Customer,,BRA,linkedin-ads-q3,812
HS-90168,contact168@gridsoft.com.br,gridsoft,Partner,,Customer,OPP-2025170,Brasil,organic,103
HS-90169,contact169@orbitdigital.com.br,Orbit Digital,google ads,2024-03-15,Subscriber,,Brasil,linkedin-ads-q3,93
HS-90170,contact170@orbitdigital.com.br,ORBIT DIGITAL,SEO,2023-11-23,Lead,OPP-2024308,BR,cold-outbound,
HS-90171,contact171@innova.com.br,INNOVA,partner referral,2023-11-23,Lead,,Brasil,organic,
HS-90172,contact172@connectwave.com.br,Connect Wave,Paid Search,2024-05-17,MQL,,brasil,event-saas-summit,465
HS-90173,contact173@polare.com.br,Polare,google ads,2024-04-17,Subscriber,OPP-2024931,Brasil,linkedin-ads-q3,
HS-90174,contact174@fluxosistemas.com.br,Fluxo Sistemas Ltda,Event,2025-01-24,SQL,,BRASIL,partner-referral,244
HS-90175,contact175@orbitdigital.com.br,Orbit Digital,social,,SQL,,BRASIL,cold-outbound,935
HS-90176,contact176@gruponexus.com.br,Nexus Group,Webinar,2024-07-11,SQL,OPP-2024593,Brasil,cold-outbound,353
HS-90177,contact177@ampliasolucoes.com.br,Amplia,Social Media,2024-06-01,Lead,,Brasil,partner-referral,9657
HS-90178,contact111@dataprime.com.br,Data Prime,email,,MQL,OPP-2024839,Brasil,organic,667
HS-90179,contact179@orbitdigital.com.br,Orbit Digital,paid,2025-01-21,MQL,,Brasil,webinar-nov24,
HS-90180,contact180@skyops.com.br,SKYOPS,Organic Search,2024-02-19,MQL,,Brasil,linkedin-ads-q3,346
HS-90181,contact181@connectwave.com.br,ConnectWave,Organic Search,2024-09-21,SQL,OPP-2024464,BRASIL,cold-outbound,177
HS-90182,contact182@tapflow.com.br,Tap Flow,social,2024-05-06,Lead,OPP-2024067,Brasil,partner-referral,74
HS-90183,contact183@orbitdigital.com.br,Orbit,Webinar,,SQL,OPP-2024716,Brasil,webinar-nov24,92
HS-90184,contact184@connectwave.com.br,Connect Wave,Event,2024-11-08,Customer,,Brasil,webinar-nov24,
HS-90185,contact185@polare.com.br,Polare,Webinar,2024-07-30,Customer,OPP-2024427,Brasil,ebook-revops,
HS-90186,contact186@polare.com.br,POLARE,Social Media,2024-07-14,Customer,,BRASIL,event-saas-summit,
HS-90187,contact187@rushflow.com.br,rushflow,Organic Search,2023-09-20,Lead,,Brasil,demo-request,221
HS-90188,contact188@acmecorp.com.br,Acme Corp,Email Marketing,,SQL,,BR,webinar-nov24,78
HS-90189,contact189@acmecorp.com.br,Acme Corp,partner referral,,Lead,OPP-2024470,Brasil,organic,146
HS-90190,contact190@verticetech.com.br,VERTICE TECH,Webinar,,MQL,,Brasil,webinar-nov24,
HS-90191,contact191@verticetech.com.br,Vertice Tech,Partner,2024-06-01,Subscriber,,brasil,webinar-nov24,573
HS-90192,contact192@bluepath.com.br,bluepath,SEO,,MQL,,Brasil,cold-outbound,443
HS-90193,contact193@acmecorp.com.br,acme,Webinar,2024-03-21,Subscriber,,Brasil,demo-request,7094
HS-90194,contact194@innova.com.br,Innova,SEO,2023-09-20,Customer,OPP-2024684,Brasil,demo-request,387
HS-90195,contact195@skyops.com.br,skyops,Direct,2023-11-21,Subscriber,OPP-2024486,BRASIL,organic,660
HS-90196,contact196@polare.com.br,polare,Social Media,,SQL,,Brasil,organic,
HS-90197,contact197@tapflow.com.br,TapFlow,Referral,2023-10-15,Subscriber,,Brasil,partner-referral,
HS-90198,contact198@gridsoft.com.br,Grid Soft,Organic Search,,Lead,OPP-2024858,Brasil,organic,5718
HS-90199,contact199@bluepath.com.br,Blue Path,Direct,2024-02-05,MQL,OPP-2024844,BRASIL,demo-request,1960
HS-90200,contact200@orbitdigital.com.br,orbit digital,SEO,2024-10-10,Lead,,Brasil,event-saas-summit,213
HS-90201,contact201@zentra.com.br,Zentra Tech,Referral,2024-06-06,SQL,,Brasil,linkedin-ads-q3,980
HS-90202,contact202@polare.com.br,POLARE,Paid Search,2024-05-13,Lead,,Brasil,ebook-revops,
HS-90203,contact203@acmecorp.com.br,Acme Corp.,Direct,2023-09-17,Lead,,Brasil,demo-request,175
HS-90204,contact204@corelogic.com.br,CoreLogic,Email Marketing,2023-10-24,SQL,,BRASIL,organic,347
HS-90205,contact205@gridsoft.com.br,GRIDSOFT,Referral,2024-07-10,Subscriber,,Brazil,ebook-revops,555
HS-90206,contact206@polare.com.br,polare,paid,,Customer,,Brazil,webinar-nov24,56
HS-90207,contact207@tapflow.com.br,tapflow,Organic Search,,Customer,,BR,cold-outbound,28
HS-90208,contact208@innova.com.br,innova,Paid Search,2024-08-31,Customer,OPP-2024110,Brasil,partner-referral,
HS-90209,contact209@ampliasolucoes.com.br,Amplia Soluções Ltda,Email Marketing,,Subscriber,,Brasil,demo-request,528
HS-90210,contact210@tapflow.com.br,tapflow,paid,2024-08-19,SQL,OPP-2024457,Brasil,partner-referral,27
HS-90211,contact211@dataprime.com.br,DATAPRIME,Paid Search,2024-10-06,MQL,OPP-2024355,Brasil,ebook-revops,81
HS-90212,contact212@skyops.com.br,skyops,Content Download,,MQL,OPP-2024018,brasil,demo-request,
HS-90213,contact213@connectwave.com.br,connectwave,Partner,2024-12-15,SQL,OPP-2024388,Brasil,event-saas-summit,717
HS-90214,contact214@betasolutions.com.br,BETA SOLUTIONS,Partner,2023-10-22,Subscriber,,Brasil,demo-request,147
HS-90215,contact215@ampliasolucoes.com.br,Amplia Soluções Ltda,Referral,2023-12-26,Subscriber,OPP-2024968,Brasil,demo-request,6787
HS-90216,contact105@orbitdigital.com.br,Orbit,Partner,2024-10-14,Subscriber,,BR,webinar-nov24,
HS-90217,contact217@mindbox.com.br,MINDBOX,paid,,Customer,,Brasil,webinar-nov24,427
HS-90218,contact218@rushflow.com.br,rushflow,Webinar,,SQL,OPP-2024709,Brasil,linkedin-ads-q3,115
HS-90219,contact219@polaris.com.br,polaris,Content Download,2024-11-01,Lead,,Brasil,demo-request,
HS-90220,contact220@tapflow.com.br,tapflow,Referral,2024-05-12,Lead,,Brasil,organic,
HS-90221,contact221@innova.com.br,Innova Tech,Partner,,Customer,,Brazil,demo-request,106
HS-90222,contact222@gruponexus.com.br,GRUPO NEXUS,Content Download,,Lead,,BRA,partner-referral,528
HS-90223,contact223@bluepath.com.br,bluepath,Organic Search,2024-04-01,Customer,,BRASIL,organic,
HS-90224,contact224@tapflow.com.br,Tap Flow,Referral,,Subscriber,,Brasil,partner-referral,431
HS-90225,contact225@skyops.com.br,SkyOps,Webinar,2024-10-27,SQL,OPP-2024846,BRASIL,organic,187
HS-90226,contact226@gruponexus.com.br,Grupo Nexus,Event,,MQL,,BRA,webinar-nov24,591
HS-90227,contact227@verticetech.com.br,Vértice Tech,Email Marketing,2023-10-15,Lead,OPP-2025057,BRASIL,webinar-nov24,
HS-90228,contact228@gruponexus.com.br,Grupo Nexus,Referral,2025-01-12,SQL,,Brasil,event-saas-summit,59
HS-90229,contact229@innova.com.br,innova,Social Media,,SQL,,Brasil,event-saas-summit,58
HS-90230,contact230@dataprime.com.br,dataprime,Referral,2023-12-22,Lead,,Brasil,demo-request,324
HS-90231,contact231@acmecorp.com.br,ACME CORP,Paid Search,2024-01-06,Subscriber,OPP-2024256,Brasil,event-saas-summit,3343
HS-90232,contact232@mindbox.com.br,MINDBOX,organic,,SQL,,BR,demo-request,153
HS-90233,contact233@betasolutions.com.br,beta solutions,Direct,2023-12-28,Subscriber,,Brasil,cold-outbound,201
HS-90234,contact234@polare.com.br,polare,Content Download,,MQL,,Brasil,event-saas-summit,79
HS-90235,contact235@ampliasolucoes.com.br,Amplia Soluções Ltda,Webinar,2023-10-26,SQL,,Brasil,organic,77
HS-90236,contact236@zentra.com.br,zentra,Partner,,Customer,,Brasil,webinar-nov24,371
HS-90237,contact237@betasolutions.com.br,beta solutions,Organic Search,,Lead,,Brasil,event-saas-summit,
HS-90238,contact238@connectwave.com.br,ConnectWave,google ads,2024-11-25,Subscriber,,Brasil,event-saas-summit,851
HS-90239,contact239@polare.com.br,polare,Partner,2023-09-26,Customer,,brasil,linkedin-ads-q3,
HS-90240,contact240@orbitdigital.com.br,Orbit,Event,2023-12-23,Lead,,Brasil,event-saas-summit,
