hs_contact_id,email,company_name,lead_source,mql_date,lifecycle_stage,sf_opportunity_id,country,utm_campaign,number_of_employees,country_canonical,lead_source_canonical,canonical_name,has_sf_opportunity
HS-90038,contact38@gridsoft.com.br,Grid Soft,Webinar,2023-10-03,SQL,OPP-2024653,Brasil,webinar-nov24,162.0,BR,Webinar,gridsoft,True
HS-90039,contact39@acmecorp.com.br,Acme Corp.,Referral,2024-03-19,Customer,,Brasil,ebook-revops,522.0,BR,Partner/Referral,acme,False
HS-90040,contact40@bluepath.com.br,Blue Path,Referral,,MQL,,Brasil,cold-outbound,892.0,BR,Partner/Referral,bluepath,False
HS-90041,contact41@dataprime.com.br,Data Prime,paid,,Lead,OPP-2024285,Brasil,linkedin-ads-q3,968.0,BR,Paid Search,dataprime,True
HS-90042,contact42@betasolutions.com.br,beta solutions,social,,MQL,,Brasil,partner-referral,8112.0,BR,Social Media,betasolutions,False
HS-90043,contact43@ampliasolucoes.com.br,Amplia,Organic Search,,MQL,OPP-2025134,Brasil,partner-referral,282.0,BR,Organic Search,amplia,True
HS-90044,contact44@zentra.com.br,zentra,Organic,2023-11-20,SQL,OPP-2024704,Brasil,linkedin-ads-q3,1512.0,BR,Organic Search,zentra,True
HS-90045,contact45@rushflow.com.br,RUSHFLOW,Partner,2024-05-11,Customer,OPP-2024195,BR,cold-outbound,583.0,BR,Partner/Referral,rushflow,True
HS-90046,contact46@tapflow.com.br,Tap Flow,email,2023-09-30,Subscriber,,Brasil,organic,363.0,BR,Email Marketing,tapflow,False
HS-90047,contact47@orbitdigital.com.br,orbit digital,paid,2024-08-10,Customer,OPP-2025011,Brasil,webinar-nov24,192.0,BR,Paid Search,orbit,True
HS-90048,contact48@corelogic.com.br,CORELOGIC,Organic,2024-02-25,MQL,OPP-2024574,Brasil,webinar-nov24,,BR,Organic Search,corelogic,True
HS-90049,contact49@verticetech.com.br,Vertice,Email Marketing,2024-05-06,SQL,OPP-2024094,Brazil,linkedin-ads-q3,37.0,BR,Email Marketing,vertice,True
HS-90050,contact50@connectwave.com.br,Connect Wave,Webinar,2023-12-22,SQL,OPP-2024049,Brasil,linkedin-ads-q3,,BR,Webinar,connectwave,True
HS-90051,contact51@connectwave.com.br,Connect Wave,Organic Search,2024-02-08,Subscriber,,Brasil,demo-request,92.0,BR,Organic Search,connectwave,False
HS-90052,contact52@polaris.com.br,Polaris,Direct,2024-08-13,Customer,OPP-2024437,Brasil,event-saas-summit,901.0,BR,Other,polaris,True
HS-90053,contact53@innova.com.br,INNOVA,paid,2024-10-11,Lead,,Brasil,event-saas-summit,133.0,BR,Paid Search,innova,False
HS-90054,contact54@polare.com.br,polare,Social Media,2023-11-22,MQL,,Brasil,webinar-nov24,206.0,BR,Social Media,polare,False
HS-90055,contact55@orbitdigital.com.br,ORBIT DIGITAL,Content Download,2024-04-06,SQL,OPP-2024709,BRA,event-saas-summit,125.0,BR,Content Download,orbit,True
HS-90056,contact0@verticetech.com.br,VERTICE TECH,Social Media,2024-12-14,SQL,,Brasil,linkedin-ads-q3,,BR,Social Media,vertice,False
HS-90057,contact57@rushflow.com.br,rushflow,organic,,MQL,,BRA,ebook-revops,48.0,BR,Organic Search,rushflow,False
HS-90058,contact58@tapflow.com.br,TapFlow,Organic Search,2024-03-20,Lead,,Brasil,event-saas-summit,66.0,BR,Organic Search,tapflow,False
HS-90059,contact59@betasolutions.com.br,beta solutions,Referral,2023-09-13,Subscriber,,Brasil,ebook-revops,,BR,Partner/Referral,betasolutions,False
HS-90060,contact60@betasolutions.com.br,BETA SOLUTIONS,Event,,MQL,,Brasil,webinar-nov24,,BR,Other,betasolutions,False
HS-90061,contact61@polare.com.br,polare,Organic,2023-11-22,SQL,,Brasil,organic,46.0,BR,Organic Search,polare,False
HS-90062,contact62@verticetech.com.br,VERTICE TECH,partner referral,2024-11-30,Lead,,Brasil,event-saas-summit,,BR,Partner/Referral,vertice,False
HS-90063,contact63@innova.com.br,INNOVA,organic,2024-09-16,MQL,,Brasil,organic,,BR,Organic Search,innova,False
HS-90064,contact64@corelogic.com.br,CoreLogic,Partner,2024-07-06,Customer,,Brasil,linkedin-ads-q3,10.0,BR,Partner/Referral,corelogic,False
HS-90065,contact65@ampliasolucoes.com.br,Amplia Soluções,Paid Search,2024-06-29,Lead,OPP-2024812,Brasil,linkedin-ads-q3,,BR,Paid Search,amplia,True
HS-90066,contact66@rushflow.com.br,rushflow,Partner,2025-01-07,MQL,,Brasil,linkedin-ads-q3,228.0,BR,Partner/Referral,rushflow,False
HS-90067,contact67@zentra.com.br,ZENTRA,Referral,2023-11-20,Subscriber,OPP-2024370,BRASIL,demo-request,,BR,Partner/Referral,zentra,True
HS-90068,contact68@orbitdigital.com.br,Orbit Digital,Organic Search,2023-10-22,MQL,,Brasil,ebook-revops,,BR,Organic Search,orbit,False
HS-90069,contact69@betasolutions.com.br,beta solutions,Event,2024-10-15,Customer,OPP-2024685,Brasil,partner-referral,688.0,BR,Other,betasolutions,True
HS-90070,contact70@dataprime.com.br,DataPrime,Paid Search,,Customer,OPP-2024687,Brasil,demo-request,834.0,BR,Paid Search,dataprime,True
HS-90071,contact71@acmecorp.com.br,Acme Corp,social,2024-10-21,Lead,,BRASIL,organic,560.0,BR,Social Media,acme,False
HS-90072,contact72@gruponexus.com.br,GRUPO NEXUS,Social Media,2024-04-11,Subscriber,,Brasil,linkedin-ads-q3,144.0,BR,Social Media,nexus,False
HS-90073,contact73@acmecorp.com.br,ACME CORP,Organic Search,2024-11-10,SQL,OPP-2024386,Brasil,demo-request,,BR,Organic Search,acme,True
HS-90074,contact74@betasolutions.com.br,Beta Solutions Ltda,Email Marketing,2023-10-08,Lead,OPP-2024635,Brasil,linkedin-ads-q3,888.0,BR,Email Marketing,betasolutions,True
HS-90075,contact75@tapflow.com.br,Tap Flow,Referral,2024-11-05,MQL,OPP-2025122,brasil,partner-referral,,BR,Partner/Referral,tapflow,True
HS-90076,contact76@dataprime.com.br,dataprime,SEO,2024-07-27,Lead,OPP-2024520,Brasil,ebook-revops,920.0,BR,Organic Search,dataprime,True
HS-90077,contact69@betasolutions.com.br,Beta Solutions,Webinar,,MQL,,BRA,event-saas-summit,,BR,Webinar,betasolutions,False
HS-90078,contact78@polare.com.br,Polare Ltda,Content Download,2024-08-11,Subscriber,,Brasil,partner-referral,793.0,BR,Content Download,polare,False
HS-90079,contact79@acmecorp.com.br,Acme,Direct,2024-12-15,MQL,,Brasil,demo-request,117.0,BR,Other,acme,False
HS-90080,contact80@zentra.com.br,ZENTRA,Partner,2025-01-02,Lead,,Brasil,webinar-nov24,,BR,Partner/Referral,zentra,False
HS-90081,contact81@gridsoft.com.br,Grid Soft,Paid Search,2024-04-23,Lead,OPP-2024843,Brazil,event-saas-summit,90.0,BR,Paid Search,gridsoft,True
HS-90082,contact82@dataprime.com.br,dataprime,Direct,,Lead,OPP-2024322,BRA,webinar-nov24,188.0,BR,Other,dataprime,True
HS-90083,contact83@betasolutions.com.br,Beta Solutions Ltda,Partner,2024-08-10,SQL,,Brasil,demo-request,89.0,BR,Partner/Referral,betasolutions,False
HS-90084,contact84@gridsoft.com.br,GRIDSOFT,Organic Search,2024-01-16,SQL,OPP-2024191,Brasil,ebook-revops,,BR,Organic Search,gridsoft,True
HS-90085,contact85@zentra.com.br,ZENTRA,Webinar,,MQL,,Brasil,event-saas-summit,879.0,BR,Webinar,zentra,False
HS-90086,contact86@orbitdigital.com.br,Orbit,google ads,2023-12-05,Subscriber,,BRASIL,linkedin-ads-q3,329.0,BR,Paid Search,orbit,False
HS-90087,contact87@connectwave.com.br,connectwave,Content Download,2024-06-03,MQL,OPP-2024614,Brasil,linkedin-ads-q3,,BR,Content Download,connectwave,True
HS-90088,contact88@rushflow.com.br,Rush Flow,Webinar,2023-10-09,SQL,,BRASIL,ebook-revops,,BR,Webinar,rushflow,False
HS-90089,contact89@orbitdigital.com.br,Orbit,Webinar,2024-02-15,Subscriber,OPP-2025071,Brasil,partner-referral,132.0,BR,Webinar,orbit,True
HS-90090,contact90@gridsoft.com.br,gridsoft,Social Media,2024-07-27,Customer,,BR,linkedin-ads-q3,11.0,BR,Social Media,gridsoft,False
HS-90091,contact91@orbitdigital.com.br,Orbit,Social Media,2024-10-16,Subscriber,,Brasil,partner-referral,216.0,BR,Social Media,orbit,False
HS-90092,contact92@zentra.com.br,Zentra,google ads,2024-11-24,Lead,OPP-2024053,BRASIL,partner-referral,193.0,BR,Paid Search,zentra,True
HS-90093,contact93@skyops.com.br,SkyOps,Organic Search,2023-11-18,Subscriber,OPP-2024865,Brasil,event-saas-summit,135.0,BR,Organic Search,skyops,True
HS-90094,contact94@orbitdigital.com.br,Orbit,Email Marketing,2024-11-19,SQL,OPP-2024038,Brasil,partner-referral,977.0,BR,Email Marketing,orbit,True
HS-90095,contact95@corelogic.com.br,corelogic,Event,,SQL,OPP-2024364,Brasil,organic,3749.0,BR,Other,corelogic,True
HS-90096,contact96@bluepath.com.br,Blue Path,paid,2024-07-28,Customer,OPP-2024876,Brasil,partner-referral,,BR,Paid Search,bluepath,True
HS-90097,contact97@mindbox.com.br,Mind Box,Content Download,,Subscriber,,Brasil,demo-request,,BR,Content Download,mindbox,False
HS-90098,contact98@connectwave.com.br,ConnectWave,Paid Search,,SQL,OPP-2025031,brasil,organic,,BR,Paid Search,connectwave,True
HS-90099,contact99@dataprime.com.br,DataPrime,Organic Search,,SQL,,Brasil,event-saas-summit,999.0,BR,Organic Search,dataprime,False
HS-90100,contact100@rushflow.com.br,RUSHFLOW,partner referral,,Lead,OPP-2024918,Brasil,organic,486.0,BR,Partner/Referral,rushflow,True
HS-90101,contact101@skyops.com.br,SkyOps,email,2024-11-29,Lead,,Brasil,organic,9123.0,BR,Email Marketing,skyops,False
HS-90102,contact102@ampliasolucoes.com.br,Amplia,Social Media,,SQL,,Brasil,partner-referral,971.0,BR,Social Media,amplia,False
HS-90103,contact103@fluxosistemas.com.br,FLUXO SISTEMAS,partner referral,2024-11-05,Lead,,Brasil,partner-referral,277.0,BR,Partner/Referral,fluxo,False
HS-90104,contact104@orbitdigital.com.br,orbit digital,Organic Search,2023-10-18,SQL,OPP-2024068,Brasil,cold-outbound,,BR,Organic Search,orbit,True
HS-90105,contact105@orbitdigital.com.br,Orbit,Partner,2024-08-16,MQL,OPP-2024266,Brasil,webinar-nov24,,BR,Partner/Referral,orbit,True
HS-90106,contact106@gridsoft.com.br,GRIDSOFT,paid,2024-07-12,SQL,,Brasil,event-saas-summit,282.0,BR,Paid Search,gridsoft,False
HS-90107,contact107@orbitdigital.com.br,Orbit,Social Media,2023-11-18,SQL,,Brasil,event-saas-summit,140.0,BR,Social Media,orbit,False
HS-90108,contact108@connectwave.com.br,ConnectWave,Content Download,2023-09-17,MQL,,Brasil,cold-outbound,,BR,Content Download,connectwave,False
HS-90109,contact109@orbitdigital.com.br,Orbit Digital,Webinar,2025-01-21,SQL,,Brasil,linkedin-ads-q3,,BR,Webinar,orbit,False
HS-90110,contact110@connectwave.com.br,Connect Wave,Paid Search,,Customer,,BRASIL,demo-request,,BR,Paid Search,connectwave,False
HS-90111,contact111@dataprime.com.br,DATAPRIME,google ads,,MQL,OPP-2024462,Brasil,linkedin-ads-q3,9802.0,BR,Paid Search,dataprime,True
HS-90112,contact112@skyops.com.br,SkyOps,Event,,MQL,,Brasil,webinar-nov24,,BR,Other,skyops,False
HS-90113,contact113@skyops.com.br,SKYOPS,Content Download,,Subscriber,OPP-2025079,Brasil,ebook-revops,,BR,Content Download,skyops,True
HS-90114,contact114@innova.com.br,Innova Tech,Webinar,2023-11-17,Subscriber,,Brasil,demo-request,,BR,Webinar,innova,False
HS-90115,contact115@polaris.com.br,Polaris,Organic,2023-10-13,MQL,,brasil,linkedin-ads-q3,,BR,Organic Search,polaris,False
HS-90116,contact116@gridsoft.com.br,Grid Soft,Event,2024-05-05,Lead,,Brasil,ebook-revops,,BR,Other,gridsoft,False
HS-90117,contact117@betasolutions.com.br,BETA SOLUTIONS,Paid Search,2024-08-30,Lead,,BR,partner-referral,,BR,Paid Search,betasolutions,False
HS-90118,contact118@gridsoft.com.br,GRIDSOFT,Email Marketing,2024-07-07,SQL,,Brasil,event-saas-summit,70.0,BR,Email Marketing,gridsoft,False
HS-90119,contact119@mindbox.com.br,Mind Box,Webinar,2024-01-23,Subscriber,,BRA,demo-request,168.0,BR,Webinar,mindbox,False
HS-90120,contact120@corelogic.com.br,corelogic,organic,,SQL,OPP-2024274,BRASIL,ebook-revops,,BR,Organic Search,corelogic,True
HS-90121,contact121@connectwave.com.br,Connect Wave,Direct,2024-09-25,Subscriber,OPP-2024781,Brazil,partner-referral,,BR,Other,connectwave,True
HS-90122,contact122@gruponexus.com.br,Nexus Group,SEO,,MQL,,brasil,partner-referral,,BR,Organic Search,nexus,False
HS-90123,contact123@polare.com.br,polare,Direct,2023-11-30,MQL,,Brasil,webinar-nov24,190.0,BR,Other,polare,False
HS-90124,contact70@dataprime.com.br,DataPrime,Direct,2024-11-02,SQL,,Brasil,event-saas-summit,187.0,BR,Other,dataprime,False
HS-90125,contact125@betasolutions.com.br,BETA SOLUTIONS,Webinar,2024-11-20,SQL,,Brasil,cold-outbound,,BR,Webinar,betasolutions,False
HS-90126,contact126@rushflow.com.br,Rush Flow,Event,2024-09-25,Subscriber,,Brasil,webinar-nov24,,BR,Other,rushflow,False
HS-90127,contact127@gridsoft.com.br,GridSoft,Referral,2023-09-10,Customer,,Brasil,demo-request,,BR,Partner/Referral,gridsoft,False
HS-90128,contact128@tapflow.com.br,Tap Flow,Content Download,2024-07-27,Subscriber,OPP-2024345,Brasil,partner-referral,28.0,BR,Content Download,tapflow,True
HS-90129,contact129@bluepath.com.br,BluePath,Social Media,2024-05-03,Lead,,Brasil,cold-outbound,426.0,BR,Social Media,bluepath,False
HS-90130,contact65@ampliasolucoes.com.br,Amplia Soluções,Partner,2024-10-28,SQL,OPP-2024778,Brazil,cold-outbound,878.0,BR,Partner/Referral,amplia,True
HS-90131,contact131@polaris.com.br,Polaris Tech,Organic Search,2023-12-23,MQL,,BRASIL,cold-outbound,748.0,BR,Organic Search,polaris,False
HS-90132,contact132@skyops.com.br,SkyOps,email,2024-06-12,Subscriber,,BRA,cold-outbound,,BR,Email Marketing,skyops,False
HS-90133,contact133@betasolutions.com.br,Beta Solutions,Email Marketing,2024-08-03,MQL,OPP-2025030,Brasil,organic,,BR,Email Marketing,betasolutions,True
HS-90134,contact134@ampliasolucoes.com.br,Amplia Soluções,Partner,2024-01-02,Lead,,Brasil,partner-referral,,BR,Partner/Referral,amplia,False
HS-90135,contact135@zentra.com.br,Zentra Tech,Paid Search,2024-11-25,Customer,OPP-2024486,BR,linkedin-ads-q3,,BR,Paid Search,zentra,True
HS-90136,contact136@tapflow.com.br,TapFlow,Paid Search,2024-08-01,MQL,OPP-2024353,BRASIL,partner-referral,148.0,BR,Paid Search,tapflow,True
HS-90137,contact137@connectwave.com.br,connectwave,Organic Search,2024-05-18,Lead,OPP-2024169,Brasil,webinar-nov24,,BR,Organic Search,connectwave,True
HS-90138,contact85@zentra.com.br,Zentra,Referral,2024-10-13,Customer,OPP-2024213,Brasil,partner-referral,,BR,Partner/Referral,zentra,True
HS-90139,contact139@zentra.com.br,Zentra Tech,Event,2024-10-17,MQL,,Brasil,linkedin-ads-q3,,BR,Other,zentra,False
HS-90140,contact140@verticetech.com.br,Vertice,Email Marketing,2024-02-05,SQL,,BRA,cold-outbound,864.0,BR,Email Marketing,vertice,False
HS-90141,contact141@polare.com.br,Polare Ltda,SEO,,SQL,OPP-2024445,Brasil,organic,174.0,BR,Organic Search,polare,True
HS-90142,contact142@zentra.com.br,Zentra,Event,2023-11-24,Subscriber,OPP-2025166,Brasil,demo-request,,BR,Other,zentra,True
HS-90143,contact143@fluxosistemas.com.br,FLUXO SISTEMAS,Social Media,2024-02-17,Lead,OPP-2024879,Brasil,ebook-revops,977.0,BR,Social Media,fluxo,True
HS-90144,contact144@polare.com.br,Polare Ltda,Event,2024-09-23,Subscriber,,Brasil,partner-referral,827.0,BR,Other,polare,False
HS-90145,contact145@dataprime.com.br,Data Prime,Content Download,,Customer,,BR,partner-referral,166.0,BR,Content Download,dataprime,False
HS-90146,contact146@gridsoft.com.br,GridSoft,Referral,2024-12-18,Lead,,Brasil,partner-referral,665.0,BR,Partner/Referral,gridsoft,False
HS-90147,contact147@ampliasolucoes.com.br,Amplia,Content Download,2024-02-25,SQL,OPP-2024959,Brasil,partner-referral,36.0,BR,Content Download,amplia,True
HS-90148,contact148@dataprime.com.br,dataprime,Content Download,2024-09-18,Subscriber,,Brasil,cold-outbound,1289.0,BR,Content Download,dataprime,False
HS-90149,contact149@bluepath.com.br,BLUEPATH,Event,2024-07-05,SQL,,Brasil,webinar-nov24,,BR,Other,bluepath,False
HS-90150,contact150@verticetech.com.br,Vertice,Social Media,,Lead,,Brasil,organic,172.0,BR,Social Media,vertice,False
HS-90151,contact151@polare.com.br,polare,social,2024-07-24,Lead,OPP-2025061,Brasil,partner-referral,105.0,BR,Social Media,polare,True
HS-90152,contact152@innova.com.br,Innova,social,2023-10-02,Lead,,brasil,organic,861.0,BR,Social Media,innova,False
HS-90153,contact153@mindbox.com.br,Mindbox,Email Marketing,2023-12-10,MQL,OPP-2024224,Brasil,linkedin-ads-q3,180.0,BR,Email Marketing,mindbox,True
HS-90154,contact154@verticetech.com.br,Vertice Tech,Event,2024-09-11,SQL,,BR,organic,,BR,Other,vertice,False
HS-90155,contact155@orbitdigital.com.br,orbit digital,Paid Search,,MQL,,Brasil,partner-referral,,BR,Paid Search,orbit,False
HS-90156,contact156@ampliasolucoes.com.br,Amplia Soluções Ltda,Email Marketing,2024-10-28,Lead,,BR,webinar-nov24,889.0,BR,Email Marketing,amplia,False
HS-90157,contact157@connectwave.com.br,ConnectWave,Partner,2024-02-26,SQL,OPP-2024371,Brasil,linkedin-ads-q3,682.0,BR,Partner/Referral,connectwave,True
HS-90158,contact158@rushflow.com.br,rushflow,Partner,,MQL,OPP-2024263,Brasil,ebook-revops,,BR,Partner/Referral,rushflow,True
HS-90159,contact159@polaris.com.br,Polaris,Event,2024-01-29,Subscriber,,Brasil,cold-outbound,125.0,BR,Other,polaris,False
HS-90160,contact160@connectwave.com.br,Connect Wave,Social Media,,Lead,,Brasil,cold-outbound,,BR,Social Media,connectwave,False
HS-90161,contact161@ampliasolucoes.com.br,Amplia Soluções,Organic,2024-04-09,Customer,,BRA,organic,,BR,Organic Search,amplia,False
HS-90162,contact162@fluxosistemas.com.br,Fluxo,social,2024-05-31,Lead,,Brazil,event-saas-summit,400.0,BR,Social Media,fluxo,False
HS-90163,contact163@fluxosistemas.com.br,Fluxo Sistemas Ltda,Organic Search,2023-09-11,Customer,,Brasil,organic,106.0,BR,Organic Search,fluxo,False
HS-90164,contact164@innova.com.br,INNOVA,Direct,,SQL,,Brasil,webinar-nov24,506.0,BR,Other,innova,False
HS-90165,contact165@orbitdigital.com.br,ORBIT DIGITAL,Partner,2024-08-02,SQL,,BRASIL,demo-request,237.0,BR,Partner/Referral,orbit,False
HS-90166,contact166@ampliasolucoes.com.br,AMPLIA SOLUCOES,Social Media,2023-10-04,Customer,,BR,organic,254.0,BR,Social Media,amplia,False
HS-90167,contact167@mindbox.com.br,Mind Box,Partner,2024-01-24,Customer,,BRA,linkedin-ads-q3,812.0,BR,Partner/Referral,mindbox,False
HS-90168,contact168@gridsoft.com.br,gridsoft,Partner,,Customer,OPP-2025170,Brasil,organic,103.0,BR,Partner/Referral,gridsoft,True
HS-90169,contact169@orbitdigital.com.br,Orbit Digital,google ads,2024-03-15,Subscriber,,Brasil,linkedin-ads-q3,93.0,BR,Paid Search,orbit,False
HS-90170,contact170@orbitdigital.com.br,ORBIT DIGITAL,SEO,2023-11-23,Lead,OPP-2024308,BR,cold-outbound,,BR,Organic Search,orbit,True
HS-90171,contact171@innova.com.br,INNOVA,partner referral,2023-11-23,Lead,,Brasil,organic,,BR,Partner/Referral,innova,False
HS-90172,contact172@connectwave.com.br,Connect Wave,Paid Search,2024-05-17,MQL,,brasil,event-saas-summit,465.0,BR,Paid Search,connectwave,False
HS-90173,contact173@polare.com.br,Polare,google ads,2024-04-17,Subscriber,OPP-2024931,Brasil,linkedin-ads-q3,,BR,Paid Search,polare,True
HS-90174,contact174@fluxosistemas.com.br,Fluxo Sistemas Ltda,Event,2025-01-24,SQL,,BRASIL,partner-referral,244.0,BR,Other,fluxo,False
HS-90175,contact175@orbitdigital.com.br,Orbit Digital,social,,SQL,,BRASIL,cold-outbound,935.0,BR,Social Media,orbit,False
HS-90176,contact176@gruponexus.com.br,Nexus Group,Webinar,2024-07-11,SQL,OPP-2024593,Brasil,cold-outbound,353.0,BR,Webinar,nexus,True
HS-90177,contact177@ampliasolucoes.com.br,Amplia,Social Media,2024-06-01,Lead,,Brasil,partner-referral,9657.0,BR,Social Media,amplia,False
HS-90178,contact111@dataprime.com.br,Data Prime,email,,MQL,OPP-2024839,Brasil,organic,667.0,BR,Email Marketing,dataprime,True
HS-90179,contact179@orbitdigital.com.br,Orbit Digital,paid,2025-01-21,MQL,,Brasil,webinar-nov24,,BR,Paid Search,orbit,False
HS-90180,contact180@skyops.com.br,SKYOPS,Organic Search,2024-02-19,MQL,,Brasil,linkedin-ads-q3,346.0,BR,Organic Search,skyops,False
HS-90181,contact181@connectwave.com.br,ConnectWave,Organic Search,2024-09-21,SQL,OPP-2024464,BRASIL,cold-outbound,177.0,BR,Organic Search,connectwave,True
HS-90182,contact182@tapflow.com.br,Tap Flow,social,2024-05-06,Lead,OPP-2024067,Brasil,partner-referral,74.0,BR,Social Media,tapflow,True
HS-90183,contact183@orbitdigital.com.br,Orbit,Webinar,,SQL,OPP-2024716,Brasil,webinar-nov24,92.0,BR,Webinar,orbit,True
HS-90184,contact184@connectwave.com.br,Connect Wave,Event,2024-11-08,Customer,,Brasil,webinar-nov24,,BR,Other,connectwave,False
